GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,households-threatened,households-threatened-lower,households-threatened-upper,households-threatened-rate,households-threatened-rate-lower,households-threatened-rate-upper,eviction-filings,filings-per-day,eviction-filings-lower,eviction-filings-upper,eviction-filing-rate,eviction-filing-rate-lower,eviction-filing-rate-upper
36081,Queens County,New York,2000,2229379,14.57,54.8,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,31735.21,31357.49,32126.2,7.09,7,7.17,44059.81,120.38,43526.57,44604.12,9.84,9.72,9.96
36081,Queens County,New York,2001,2229379,14.57,54.64,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,31427.23,31053.18,31814.43,7.02,6.94,7.11,43487.49,119.14,42961.17,44024.73,9.72,9.6,9.84
36081,Queens County,New York,2002,2229379,14.57,54.48,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,31455.48,31081.09,31843.02,7.03,6.95,7.12,46449.33,127.26,45887.18,47023.16,10.39,10.26,10.51
36081,Queens County,New York,2003,2229379,14.57,54.33,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,36377.67,25063,50602.38,8.14,5.61,11.32,52157.33,142.9,34806.7,74622.24,11.67,7.79,16.7
36081,Queens County,New York,2004,2229379,14.57,54.17,775,42439,212600,26.3,32.87,18.97,24.97,0.28,17.46,0.04,4.15,1.26,29973.69,29616.93,30342.98,6.71,6.63,6.79,42443.08,115.96,41929.4,42967.42,9.5,9.39,9.62
36081,Queens County,New York,2005,2278860,9.88,54.01,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,30035.6,29678.1,30405.66,6.73,6.65,6.81,41968.98,114.98,41461.04,42487.47,9.4,9.29,9.52
36081,Queens County,New York,2006,2278860,9.88,53.86,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,30396.15,30034.36,30770.64,6.82,6.74,6.9,43099.59,118.08,42577.97,43632.05,9.66,9.55,9.78
36081,Queens County,New York,2007,2278860,9.88,53.7,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,33515.19,27910.68,38041.03,7.52,6.26,8.54,44846.63,122.87,44303.87,45400.66,10.06,9.94,10.19
36081,Queens County,New York,2008,2278860,9.88,53.55,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,28789.39,20183.97,39130.9,6.47,4.53,8.79,37308.36,101.94,25534.7,52689.44,8.38,5.73,11.83
36081,Queens County,New York,2009,2278860,9.88,53.4,1136,54870,470500,31,31.07,18.1,26.31,0.31,21.26,0.02,1.2,1.73,35450.13,29250.45,40563.68,7.97,6.57,9.12,48518.11,132.93,47930.93,49117.49,10.9,10.77,11.04
36081,Queens County,New York,2010,2230722,11.58,53.24,1283,56780,462800,32.7,27.65,17.75,27.51,0.29,22.79,0.05,2.52,1.45,29066.85,24641.73,32535.68,6.54,5.54,7.32,37623.94,103.08,37168.58,38088.77,8.46,8.36,8.57
36081,Queens County,New York,2011,2301139,12.22,53.48,1367,57720,450300,33.7,26.13,17.39,27.94,0.22,24.23,0.04,2.17,1.87,29780.36,25284.82,33336,6.62,5.62,7.41,38633.27,105.84,38165.7,39110.56,8.59,8.48,8.69
36081,Queens County,New York,2012,2301139,12.22,53.7,1367,57720,450300,33.7,26.13,17.39,27.94,0.22,24.23,0.04,2.17,1.87,29337.4,25017.65,32786.82,6.45,5.5,7.21,37727.18,103.08,37270.57,38193.28,8.29,8.19,8.39
36081,Queens County,New York,2013,2301139,12.22,53.93,1367,57720,450300,33.7,26.13,17.39,27.94,0.22,24.23,0.04,2.17,1.87,29004.64,24705.6,32417.55,6.3,5.37,7.04,37362.34,102.36,36910.14,37823.93,8.12,8.02,8.22
36081,Queens County,New York,2014,2301139,12.22,54.15,1367,57720,450300,33.7,26.13,17.39,27.94,0.22,24.23,0.04,2.17,1.87,28004.29,23807.03,31298.38,6.02,5.12,6.73,36093.41,98.89,35656.56,36539.33,7.76,7.66,7.85
36081,Queens County,New York,2015,2301139,12.22,54.37,1367,57720,450300,33.7,26.13,17.39,27.94,0.22,24.23,0.04,2.17,1.87,30034.95,29677.45,30405.01,6.38,6.31,6.46,36442.21,99.84,36001.14,36892.44,7.75,7.65,7.84
36081,Queens County,New York,2016,2298513,10.53,54.59,1520,64987,504900,32.9,25.29,17.24,28,0.23,25.08,0.03,2.17,1.95,26996.75,26675.4,27329.38,5.68,5.61,5.75,34047.68,93.03,33635.59,34468.33,7.16,7.07,7.25
36081,Queens County,New York,2017,2298513,10.53,54.8,1520,64987,504900,32.9,25.29,17.24,28,0.23,25.08,0.03,2.17,1.95,29369.53,21089.32,40038.08,6.11,4.39,8.33,39449.07,108.08,27513.03,55463.21,8.2,5.72,11.53
36081,Queens County,New York,2018,2298513,10.53,55.01,1520,64987,504900,32.9,25.29,17.24,28,0.23,25.08,0.03,2.17,1.95,27637.39,19796.57,37393.53,5.69,4.07,7.69,36004.2,98.64,25213.15,49942.77,7.41,5.19,10.28
36005,Bronx County,New York,2000,1332650,30.68,75.92,620,27611,190400,28,14.53,31.24,48.38,0.26,2.89,0.04,2.04,0.62,69479.53,68652.67,70335.44,18.65,18.43,18.88,96330.57,263.2,95164.86,97520.49,25.86,25.55,26.18
36005,Bronx County,New York,2001,1332650,30.68,75.96,620,27611,190400,28,14.53,31.24,48.38,0.26,2.89,0.04,2.04,0.62,71833.87,70978.98,72718.78,19.19,18.96,19.43,98946.61,271.09,97749.25,100168.84,26.43,26.11,26.76
36005,Bronx County,New York,2002,1332650,30.68,75.99,620,27611,190400,28,14.53,31.24,48.38,0.26,2.89,0.04,2.04,0.62,73767.95,72890.05,74676.68,19.61,19.38,19.86,107273.85,293.9,105975.73,108598.93,28.52,28.18,28.88
36005,Bronx County,New York,2003,1332650,30.68,76.03,620,27611,190400,28,14.53,31.24,48.38,0.26,2.89,0.04,2.04,0.62,70077.75,69243.77,70941.02,18.55,18.32,18.77,104302.99,285.76,103040.81,105591.37,27.6,27.27,27.94
36005,Bronx County,New York,2004,1332650,30.68,76.06,620,27611,190400,28,14.53,31.24,48.38,0.26,2.89,0.04,2.04,0.62,66211.35,65423.38,67027.01,17.44,17.23,17.65,92807.43,253.57,91684.35,93953.83,24.45,24.15,24.75
36005,Bronx County,New York,2005,1381529,25.19,76.09,885,33794,369600,32.7,12.75,30.62,51.17,0.21,3.35,0.02,0.86,1.01,65709.37,64927.37,66518.85,17.23,17.02,17.44,89165.01,244.29,88086.01,90266.43,23.38,23.09,23.66
36005,Bronx County,New York,2006,1381529,25.19,76.13,885,33794,369600,32.7,12.75,30.62,51.17,0.21,3.35,0.02,0.86,1.01,65137.13,64361.93,65939.56,17,16.8,17.21,84482.2,231.46,83459.85,85525.77,22.05,21.78,22.32
36005,Bronx County,New York,2007,1381529,25.19,76.16,885,33794,369600,32.7,12.75,30.62,51.17,0.21,3.35,0.02,0.86,1.01,64923.46,55237.18,72865.03,16.86,14.35,18.93,83765.54,229.49,82751.87,84800.27,21.76,21.49,22.03
36005,Bronx County,New York,2008,1381529,25.19,76.19,885,33794,369600,32.7,12.75,30.62,51.17,0.21,3.35,0.02,0.86,1.01,64017.39,54807.57,71561.43,16.55,14.17,18.5,81994.45,224.03,81002.2,83007.3,21.2,20.94,21.46
36005,Bronx County,New York,2009,1381529,25.19,76.22,885,33794,369600,32.7,12.75,30.62,51.17,0.21,3.35,0.02,0.86,1.01,62670.99,53281.33,70240.48,16.13,13.71,18.08,80884.89,221.6,79906.07,81884.03,20.82,20.56,21.07
36005,Bronx County,New York,2010,1385108,26.83,76.26,1000,34300,380900,34.4,10.92,30.08,53.53,0.25,3.42,0.03,1.15,0.62,61496.67,53067.58,68370.5,15.75,13.59,17.52,77584.26,212.56,76645.38,78542.64,19.88,19.64,20.12
36005,Bronx County,New York,2011,1428357,28.26,76.22,1074,34299,363400,35.6,10.29,29.59,54.63,0.22,3.6,0.02,1.01,0.64,64213.51,55514.15,71341.02,16.35,14.13,18.16,81012.18,221.95,80031.82,82012.9,20.62,20.37,20.88
36005,Bronx County,New York,2012,1428357,28.26,76.19,1074,34299,363400,35.6,10.29,29.59,54.63,0.22,3.6,0.02,1.01,0.64,65569.73,56590.18,72825.65,16.58,14.31,18.42,82617.89,225.73,81618.1,83638.44,20.9,20.64,21.16
36005,Bronx County,New York,2013,1428357,28.26,76.16,1074,34299,363400,35.6,10.29,29.59,54.63,0.22,3.6,0.02,1.01,0.64,65794.24,56589.9,73175.68,16.54,14.22,18.39,83243.33,228.06,82235.98,84271.61,20.92,20.67,21.18
36005,Bronx County,New York,2014,1428357,28.26,76.13,1074,34299,363400,35.6,10.29,29.59,54.63,0.22,3.6,0.02,1.01,0.64,66475.86,57098.5,74234.27,16.6,14.26,18.54,84887.13,232.57,83859.89,85935.71,21.2,20.95,21.46
36005,Bronx County,New York,2015,1428357,28.26,76.09,1074,34299,363400,35.6,10.29,29.59,54.63,0.22,3.6,0.02,1.01,0.64,66465.89,56483.62,74692.08,16.5,14.02,18.54,86204.17,236.18,85160.99,87269.02,21.4,21.14,21.66
36005,Bronx County,New York,2016,1437872,26.05,76.06,1176,38085,382900,35.7,9.31,29.3,55.89,0.24,3.54,0.03,1.07,0.61,70877.13,70033.62,71750.26,17.48,17.28,17.7,86130,235.33,85087.72,87193.93,21.25,20.99,21.51
36005,Bronx County,New York,2017,1437872,26.05,76.03,1176,38085,382900,35.7,9.31,29.3,55.89,0.24,3.54,0.03,1.07,0.61,66401.04,47728.9,90036.08,16.28,11.7,22.07,86888.01,238.05,60929.36,122280.31,21.3,14.94,29.98
36005,Bronx County,New York,2018,1437872,26.05,76,1176,38085,382900,35.7,9.31,29.3,55.89,0.24,3.54,0.03,1.07,0.61,65087.7,46874.03,89035.5,15.86,11.42,21.7,83939.16,229.97,58550.56,116919.79,20.45,14.27,28.49
36061,New York County,New York,2000,1537195,20,73.91,796,47030,1000001,24.8,45.79,15.27,27.18,0.16,9.32,0.04,1.88,0.36,54314.47,53668.06,54983.59,9.21,9.1,9.32,73660.19,201.26,72768.79,74570.11,12.49,12.34,12.64
36061,New York County,New York,2001,1537195,20,73.46,796,47030,1000001,24.8,45.79,15.27,27.18,0.16,9.32,0.04,1.88,0.36,55568.49,54907.16,56253.05,9.42,9.31,9.54,74934.14,205.3,74027.32,75859.79,12.7,12.55,12.86
36061,New York County,New York,2002,1537195,20,73.01,796,47030,1000001,24.8,45.79,15.27,27.18,0.16,9.32,0.04,1.88,0.36,59219.29,58514.52,59948.82,10.04,9.92,10.16,84922.21,232.66,83894.54,85971.22,14.4,14.22,14.57
36061,New York County,New York,2003,1537195,20,72.57,796,47030,1000001,24.8,45.79,15.27,27.18,0.16,9.32,0.04,1.88,0.36,56520.72,55848.06,57217,9.58,9.47,9.7,80401.77,220.28,79428.8,81394.95,13.63,13.46,13.8
36061,New York County,New York,2004,1537195,20,72.14,796,47030,1000001,24.8,45.79,15.27,27.18,0.16,9.32,0.04,1.88,0.36,52572.49,51946.81,53220.15,8.91,8.81,9.02,72017.4,196.77,71145.88,72907.02,12.21,12.06,12.36
36061,New York County,New York,2005,1620962,13.87,71.71,1206,66818,800400,27.2,49.82,13.39,24.49,0.1,10.11,0.02,1.59,0.48,54679.66,54028.91,55353.27,9.27,9.16,9.38,75523.5,206.91,74609.55,76456.43,12.8,12.65,12.96
36061,New York County,New York,2006,1620962,13.87,71.29,1206,66818,800400,27.2,49.82,13.39,24.49,0.1,10.11,0.02,1.59,0.48,53355.45,52720.45,54012.75,9.04,8.94,9.16,72826.27,199.52,71944.96,73725.88,12.35,12.2,12.5
36061,New York County,New York,2007,1620962,13.87,70.87,1206,66818,800400,27.2,49.82,13.39,24.49,0.1,10.11,0.02,1.59,0.48,52419.13,43864.22,59399.1,8.89,7.44,10.07,69966.66,191.69,69119.95,70830.96,11.86,11.72,12.01
36061,New York County,New York,2008,1620962,13.87,70.45,1206,66818,800400,27.2,49.82,13.39,24.49,0.1,10.11,0.02,1.59,0.48,42747.65,30224.2,58912.65,7.25,5.12,9.99,54593.97,149.16,37680.05,76792.67,9.25,6.39,13.02
36061,New York County,New York,2009,1620962,13.87,70.04,1206,66818,800400,27.2,49.82,13.39,24.49,0.1,10.11,0.02,1.59,0.48,50503.6,42352.75,57254.65,8.56,7.18,9.71,67385.7,184.62,66570.22,68218.11,11.42,11.29,11.56
36061,New York County,New York,2010,1585873,14.21,69.64,1384,68370,827300,28.2,48.02,12.95,25.45,0.14,11.2,0.03,1.89,0.33,43713.58,43193.31,44252.13,7.41,7.32,7.5,52614.57,144.15,51977.82,53264.55,8.92,8.81,9.03
36061,New York County,New York,2011,1629507,14.11,69.57,1519,72871,848700,28.5,47.11,12.74,25.8,0.14,11.57,0.04,2.13,0.47,43035.86,42523.65,43566.06,7.25,7.16,7.34,53083.66,145.43,52441.23,53739.43,8.94,8.83,9.05
36061,New York County,New York,2012,1629507,14.11,69.5,1519,72871,848700,28.5,47.11,12.74,25.8,0.14,11.57,0.04,2.13,0.47,40020.04,34625.18,44315.73,6.7,5.79,7.42,50396.45,137.7,49786.54,51019.03,8.43,8.33,8.54
36061,New York County,New York,2013,1629507,14.11,69.43,1519,72871,848700,28.5,47.11,12.74,25.8,0.14,11.57,0.04,2.13,0.47,40469.73,34862.35,44969.5,6.73,5.8,7.48,51251.43,140.41,50631.17,51884.56,8.52,8.42,8.63
36061,New York County,New York,2014,1629507,14.11,69.36,1519,72871,848700,28.5,47.11,12.74,25.8,0.14,11.57,0.04,2.13,0.47,38184.8,32870.25,42359.55,6.31,5.43,7,48183.34,132.01,47600.2,48778.58,7.96,7.86,8.06
36061,New York County,New York,2015,1629507,14.11,69.3,1519,72871,848700,28.5,47.11,12.74,25.8,0.14,11.57,0.04,2.13,0.47,38249.25,32780.4,42694.1,6.28,5.38,7.01,48995.21,134.23,48402.26,49600.48,8.04,7.94,8.14
36061,New York County,New York,2016,1632480,12.68,69.23,1682,82459,944600,28,46.9,12.49,25.95,0.12,11.9,0.03,2.25,0.37,36357.56,31095.45,40614.03,5.93,5.07,6.62,46734.99,127.69,46169.38,47312.35,7.62,7.53,7.72
36061,New York County,New York,2017,1632480,12.68,69.17,1682,82459,944600,28,46.9,12.49,25.95,0.12,11.9,0.03,2.25,0.37,39285.17,28206.15,52900.4,6.37,4.57,8.57,51334.55,140.64,35384.89,72017.65,8.32,5.73,11.67
36061,New York County,New York,2018,1632480,12.68,69.11,1682,82459,944600,28,46.9,12.49,25.95,0.12,11.9,0.03,2.25,0.37,39968.5,28542.18,55180.28,6.44,4.6,8.89,51878.08,142.13,35763.86,72825.69,8.35,5.76,11.73